Column,Description,Data Type,Business Rules,Length,Default Value,Null,PK,FK,Comments
user.id,ID,Long,,8,,N,Y,,
user.username,Username used as identifying credential,String,UNIQUE,40,,N,,,
user.password,Password used as authenticating credential,String,,40,,N,,,Hashed before storage using BCrypt
user.role,Security role granting access to different authentication tiers,Enum,,40,"""ROLE_USER""",N,,,"Enum { ""ROLE_USER"", ""ROLE_ADMIN"" }"
user.status_filter,Personal study parameter to filter questions by their status,Enum,,255,"""NEW""",Y,,,"Enum { ""NEW"", ""LEARNING"", ""MASTERED"", ""FOCUS"" }"
user.topic_id,Personal study parameter to filter questions by topic,Long,,8,,Y,,Y,
user.question_id,Personal study parameter to track current question,Long,,8,,Y,,Y,
,,,,,,,,,
topic.id,ID,Long,,8,,N,Y,,
topic.parent_id,Parent topic,Long,,8,,Y,,Y,Foreign Key reference THIS table
topic.topic,Topic name,String,,255,,N,,,
,,,,,,,,,
question.id,ID,Long,,8,,N,Y,,
question.topic_id,Parent topic,Long,,8,,N,,Y,
question.question,Question asked about aviation knowledge point,String,,255,,N,,,
question.answer,Answer about aviation knowledge point,String,,255,,N,,,
,,,,,,,,,
user_question.id,ID,Long,,8,,N,Y,,
user_question.user_id,Parent user,Long,ON DELETE CASCADE,8,,N,,Y,
user_question.question_id,Associated question,Long,ON DELETE CASCADE,8,,N,,Y,
user_question.active,Flag to track if question is part of user's current study session,Boolean,,1,TRUE,N,,,
user_question.status,Personal study parameter to track user progress,Enum,,255,"""NEW""",N,,,"Enum { ""NEW"", ""LEARNING"", ""MASTERED"", ""FOCUS"" }"